Description;ID;3M;1Y;2Y;5Y;7Y;10Y
Shift;shock1;0.001;0.001;0.001;0.001;0.001;0.001
Shift;shock2;0.002;0.002;0.002;0.002;0.002;0.002
Shift;shock3;0.003;0.003;0.003;0.003;0.003;0.003
Shift;shock4;0.004;0.004;0.004;0.004;0.004;0.004
Shift;shock5;0.005;0.005;0.005;0.005;0.005;0.005
Shift;shock6;0.006;0.006;0.006;0.006;0.006;0.006
Shift;shock7;0.007;0.007;0.007;0.007;0.007;0.007
Shift;shock8;0.008;0.008;0.008;0.008;0.008;0.008
Shift;shock9;0.009;0.009;0.009;0.009;0.009;0.009
Shift;shock10;0.01;0.01;0.01;0.01;0.01;0.01
Shift;shock11;0.011;0.011;0.011;0.011;0.011;0.011
Shift;shock12;0.012;0.012;0.012;0.012;0.012;0.012
Shift;shock13;0.013;0.013;0.013;0.013;0.013;0.013
Shift;shock14;0.014;0.014;0.014;0.014;0.014;0.014
Shift;shock15;0.015;0.015;0.015;0.015;0.015;0.015
Shift;shock16;-0.0001;-0.0001;-0.0001;-0.0001;-0.0001;-0.0001
Shift;shock17;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002
Shift;shock18;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003
Shift;shock19;-0.0004;-0.0004;-0.0004;-0.0004;-0.0004;-0.0004
Steepening;shock20;0.00006;0.00012;0.00032;0.00142;0.00212;0.00277
Steepening;shock21;0.00012;0.00024;0.00064;0.00284;0.00424;0.00554
Steepening;shock22;0.00018;0.00036;0.00096;0.00426;0.00636;0.00831
Steepening;shock23;0.00024;0.00048;0.00128;0.00568;0.00848;0.01108
Steepening;shock24;0.0003;0.0006;0.0016;0.0071;0.0106;0.01385
Steepening;shock25;0.00036;0.00072;0.00192;0.00852;0.01272;0.01662
Steepening;shock26;0.00042;0.00084;0.00224;0.00994;0.01484;0.01939
Steepening;shock27;0.00048;0.00096;0.00256;0.01136;0.01696;0.02216
Steepening;shock28;0.00054;0.00108;0.00288;0.01278;0.01908;0.02493
Steepening;shock29;0.0006;0.0012;0.0032;0.0142;0.0212;0.0277
Steepening;shock30;0.00066;0.00132;0.00352;0.01562;0.02332;0.03047
Steepening;shock31;0.00072;0.00144;0.00384;0.01704;0.02544;0.03324
Steepening;shock32;0.00078;0.00156;0.00416;0.01846;0.02756;0.03601
Steepening;shock33;0.00084;0.00168;0.00448;0.01988;0.02968;0.03878
Steepening;shock34;0.0009;0.0018;0.0048;0.0213;0.0318;0.04155
Steepening;shock35;-0.0003;-0.0006;-0.0016;-0.0071;-0.0106;-0.01385
Steepening;shock36;-0.00048;-0.00096;-0.00256;-0.01136;-0.01696;-0.02216
Steepening;shock37;-0.00057;-0.00114;-0.00304;-0.01349;-0.02014;-0.026315
Steepening;shock38;-0.000591;-0.001182;-0.003152;-0.013987;-0.020882;-0.0272845
bending;shock39;0.0004371;0.00058668;0.00111296;0.00180056;0.00175748;0.00126866
bending;shock40;0.00049512;0.0006588;0.0012432;0.00199226;0.0019398;0.00139885
bending;shock41;0.00062088;0.00081168;0.00151456;0.00238134;0.00230868;0.00165646
bending;shock42;0.00076074;0.0009768;0.00180192;0.00277752;0.0026818;0.00191961
bending;shock43;0.00091638;0.00115512;0.00210624;0.00318364;0.00306128;0.00218276
bending;shock44;0.00108942;0.00134772;0.00242816;0.00359828;0.003445;0.00244868
bending;shock45;0.00128178;0.00155556;0.00276928;0.00402144;0.00383508;0.0027146
bending;shock46;0.00149562;0.00177996;0.00313024;0.00445454;0.0042294;0.00298329
bending;shock47;0.00173328;0.00202212;0.00351232;0.00489758;0.00463008;0.00325475
bending;shock48;0.00199734;0.00228336;0.00391648;0.00534914;0.00503712;0.00352898
bending;shock49;0.00229068;0.00256524;0.00434432;0.00581064;0.0054484;0.00380321
bending;shock50;0.00261648;0.00286932;0.0047968;0.0062835;0.00586392;0.00408021
bending;shock51;0.00297822;0.0031974;0.00527552;0.00676488;0.00628792;0.00435721
bending;shock52;0.00337986;0.00355116;0.00578176;0.00725762;0.00671616;0.00463698
bending;shock53;0.00382572;0.00393252;0.00631712;0.0077603;0.00715076;0.00491952
bending;shock54;0.00432048;0.00434376;0.00688352;0.00827434;0.00759172;0.00520483
bending;shock55;0.00486942;0.00478704;0.00748256;0.00879832;0.00803692;0.00549014
bending;shock56;0.00547836;0.00526476;0.00811552;0.00933366;0.0084906;0.00577822
Convex;shock57;0.00615378;0.00577968;0.00878496;0.00988178;0.00894852;0.00606907
Concav;shock58;0.0069027;0.00633444;0.00949248;0.01043984;0.0094128;0.00635992
bending;shock59;0.00773304;0.00693204;0.01024032;0.01101068;0.00988344;0.00665354
bending;shock60;0.00865338;0.00757584;0.01103072;0.0115943;0.01036044;0.00694993
bending;shock61;0.00967332;0.00826932;0.01186624;0.01218928;0.01084592;0.00724632
bending;shock62;0.01080348;0.00901596;0.0127488;0.01279704;0.01133564;0.00754548
bending;shock63;0.01205538;0.00981996;0.01368096;0.01341758;0.01183172;0.00784741
bending;shock64;0.01344198;0.01068552;0.01466592;0.0140509;0.01233628;0.00815211
bending;shock65;0.0149775;0.01161732;0.01570656;0.01469842;0.01284508;0.00845681
bending;shock66;0.01667748;0.01262016;0.01680544;0.01535872;0.01336236;0.00876428
bending;shock67;0.01855932;0.01369932;0.01796608;0.01603322;0.013886;0.00907452
bending;shock68;0.02064192;0.01486044;0.01919136;0.01672192;0.014416;0.00938753
bending;shock69;0.0229464;0.01610964;0.02048544;0.01742482;0.01495448;0.00970054
bending;shock70;0.02549592;0.01745352;0.02185152;0.01814192;0.01549932;0.01001632
bending;shock71;-0.00000594;-0.00003528;-0.0001248;-0.00088892;-0.00142676;-0.00211905
bending;shock72;-0.00000654;-0.00003876;-0.00013696;-0.00097412;-0.00156244;-0.00232126
bending;shock73;-0.00000768;-0.0000456;-0.00016128;-0.0011431;-0.00183168;-0.00272014
bending;shock74;-0.00000888;-0.00005244;-0.00018496;-0.00130924;-0.0020988;-0.00311071
bending;shock75;-0.00001002;-0.00005916;-0.00020864;-0.00147396;-0.00235956;-0.00349574
bending;shock76;-0.00001116;-0.00006588;-0.000232;-0.00163584;-0.00261608;-0.00387246
bending;shock77;-0.00001236;-0.00007248;-0.00025536;-0.00179488;-0.00287048;-0.00424364
bending;shock78;-0.0000135;-0.00007908;-0.00027808;-0.00195108;-0.00312064;-0.00460651
bending;shock79;-0.00001464;-0.00008568;-0.0003008;-0.00210586;-0.00336444;-0.00496661
bending;shock80;-0.00001578;-0.00009216;-0.00032352;-0.0022578;-0.00360612;-0.0053184
bending;shock81;-0.00001692;-0.00009864;-0.00034592;-0.00240832;-0.00384568;-0.00566188
bending;shock82;-0.00001806;-0.000105;-0.000368;-0.002556;-0.00407888;-0.00600259
bending;shock83;-0.00001914;-0.00011136;-0.00038976;-0.00270226;-0.00430996;-0.00633499
bending;shock84;-0.00002028;-0.00011772;-0.00041152;-0.00284568;-0.0045368;-0.00666462
bending;shock85;-0.00002142;-0.00012396;-0.00043296;-0.00298626;-0.00476152;-0.00698594
bending;shock86;-0.0000225;-0.00013008;-0.00045408;-0.00312684;-0.00497988;-0.00730449
bending;shock87;-0.00002364;-0.00013632;-0.0004752;-0.00326458;-0.00519824;-0.00761473
bending;shock88;-0.00002472;-0.00014244;-0.000496;-0.00339948;-0.00541236;-0.0079222
bending;shock89;-0.00002586;-0.00014844;-0.00051648;-0.00353296;-0.00562224;-0.00822136
bending;shock90;-0.00002694;-0.00015444;-0.00053696;-0.00366502;-0.00582788;-0.00851775
bending;shock91;-0.00002802;-0.00016044;-0.00055744;-0.00379424;-0.00603352;-0.0088086
bending;shock92;-0.0000291;-0.00016632;-0.00057728;-0.00392346;-0.0062328;-0.00909391
bending;shock93;-0.00003018;-0.0001722;-0.00059712;-0.00404842;-0.00643208;-0.00937368
bending;shock94;-0.00003126;-0.00017808;-0.00061696;-0.00417338;-0.00662712;-0.00965068
bending;shock95;-0.00003234;-0.00018384;-0.00063648;-0.00429692;-0.00681792;-0.00992214
bending;shock96;-0.00003342;-0.0001896;-0.00065568;-0.00441762;-0.0070066;-0.01018806
bending;shock97;-0.0000345;-0.00019536;-0.00067488;-0.0045369;-0.00719316;-0.01045121
bending;shock98;-0.00003558;-0.000201;-0.00069376;-0.00465334;-0.0073776;-0.01070882
bending;shock99;-0.0000366;-0.00020664;-0.00071264;-0.00476978;-0.0075578;-0.01096366
bending;shock100;-0.00003768;-0.00021216;-0.0007312;-0.0048848;-0.00773588;-0.01121296
